name,slug,description,assets,facets ,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Unifarm Salt,unifarm-salt,Unifarm Salt,unifarm-salt.jpg,,Kg,10,U2024020801309,180,zero,100,,,
Urea,urea,Urea,urea.jpg,,Kg,10,U2024020801310,680,zero,100,,,
Urea Fertiliser,urea-fertiliser,Urea Fertiliser,urea-fertiliser.jpg,,Sacks,50,U2024020801311,3900,zero,100,,,
Valvazen,valvazen,Valvazen,valvazen.jpg,,Ml,40,V2024020801313,210,zero,100,,,
Vetoxy,vetoxy,Vetoxy,vetoxy.jpg,,Grams,25,V2024020801326,110,zero,100,,,
Water Melon,water-melon,Water Melon,water-melon.webp,,Grams,10,W2024020801354,301,zero,100,,,
Yara M Cerael,yara-m-cerael,Yara M Cerael,yara-m-cerael.png,,Kg,50,Y2024020801389,2200,zero,100,,,
Yara Vita Crop Boost,yara-vita-crop-boost,Yara Vita Crop Boost,yara-vita-crop-boost.png,,Litre,5,Y2024020801401,4000,zero,100,,,
Zetanil,zetanil,Zetanil,zetanil.jpg,,Grams,500,Z2024020801404,750,zero,100,,,
Zinc Boron,zinc-boron,Zinc Boron,zinc-boron.webp,,Ml,500,Z2024020801406,456,zero,100,,,
Zito,zito,Zito,zito.webp,category:livestock products|company:magnetic (k) ltd|type:inputs,Pieces,10,Z2024020801407,120,zero,100,,,
Zolazol,zolazol,Zolazol,zolazol.png,category:drugs|company:cosmos|type:inputs,Grams,5,Z2024020801408,56,zero,100,,,
